Country:text,Total losses (Million EURO):number,Losses per sq.km (EURO):number,Losses per capita (EURO):number,Insured losses (Million EURO):number,Insured losses (%):number,Fatalities:number
Austria,13216,157566,1626,2333,18,755
Belgium,16208,528524,1543,6310,39,4690
Bulgaria,4741,42715,594,86,2,256
Croatia,3667,64802,830,92,3,906
Cyprus,423,45701,597,7,2,67
Czechia,16274,206334,1567,1896,12,715
Denmark,8881,206896,1646,5459,61,532
Estonia,306,6750,217,44,14,5
Finland,2286,6755,440,70,3,7
France,120613,188907,1947,41727,35,45260
Germany,167299,467879,2065,50391,30,101334
Greece,11934,90622,1129,401,3,4643
Hungary,8919,95894,875,479,5,874
Ireland,3537,50568,869,519,15,68
Italy,111110,367817,1918,5081,5,21758
Latvia,1182,18295,513,64,5,87
Lithuania,1695,25968,511,9,1,102
Luxembourg,1252,482413,2700,622,50,170
Malta,47,148848,118,,,5
Netherlands,9996,267420,629,3865,39,4315
Poland,18166,58237,480,1214,7,2551
Portugal,15042,163099,1470,535,4,10339
Romania,17525,73513,816,178,1,1438
Slovakia,1773,36159,333,73,4,119
Slovenia,6934,342051,3452,276,4,315
Spain,83782,165582,1977,3990,5,18954
Sweden,3658,8175,402,969,26,43
Iceland,25,248,88,,,3
Liechtenstein,21,129169,631,10,48,0
Norway,4965,12912,1073,3551,72,41
Switzerland,18743,453957,2542,6690,36,2281
TÃ¼rkiye,6012,7705,92,402,7,1788
,,,,,,
Total EU-27,650467,,,126690,,220308
